source_url,glass_name,nasal_engraving,glass_index,material,glass_supplier_name,image_engraving
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO HD 1.5 blanc / UVBlue / Trans® GenSTM / Transitions® XTRActive® / UVSun Polarisé,KUD   K   E,1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO HD 1.6 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUD
K
E",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO HD 1.67 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUD
K
E",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO HD 1.74 blanc / UVBlue / Trans® GenSTM,"KUD
K
E",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO 1.5 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUD
K
B",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO 1.6 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUD
K
B",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO 1.67 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUD
K
B",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique DRO 1.74 blanc / UVBlue / Trans® GenSTM,"KUD
K
B",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Network 1.5 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KNW
K
A",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Network 1.6 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive®,"KNW
K
A",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Network 1.67 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive®,"KNW
K
A",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Network 1.74 blanc/UVBlue,"KNW
K
A",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Precise Digital 1.5 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive® / UVSun Polarisé,"K+D
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Precise Digital 1.6 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive®,"K+D
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Precise Digital 1.67 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive®,"K+D
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Precise Digital 1.74 blanc/UVBlue,"K+D
K",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Concise Digital 1.5 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive® / UVSun Polarisé,"KcD
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Concise Digital 1.6 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive®,"KcD
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Concise Digital 1.67 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive®,"KcD
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Concise Digital 1.74 blanc/UVBlue,"KcD
K",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK SoftWear 1.5 blanc/UVBlue,"Ks
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK SoftWear 1.6 blanc/UVBlue,"Ks
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK SoftWear 1.67 blanc/UVBlue,"Ks
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK SoftWear 1.74 blanc/UVBlue,"Ks
K",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Digital Single Vision 1.5 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive® / UVSun Polarisé,"KD
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Digital Single Vision 1.6 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive® / UVSun Polarisé,"KD
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Digital Single Vision 1.67 blanc / UVBlue / Trans® GenS TM / Trans® XTRActive® / UVSun Polarisé,"KD
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Digital Single Vision 1.74 blanc / UVBlue / Trans® GenS TM,"KD
K",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK PowerUp 1.5 blanc / UVBlue / Trans® GenS TM,"Kpu
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK PowerUp 1.6 blanc / UVBlue / Trans® GenS TM,"Kpu
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK PowerUp 1.67 blanc / UVBlue / Trans® GenS TM,"Kpu
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK PowerUp 1.74 blanc/UVBlue,"Kpu
K",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite HD 1.5 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUIHD
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite HD 1.6 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUIHD
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite HD 1.67 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUIHD
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite HD 1.74 blanc / UVBlue / Trans® GenSTM,"KUIHD
K",1.74,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite 1.5 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUI
K",1.5,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite 1.6 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUI
K",1.6,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite 1.67 blanc / UVBlue / Trans® GenSTM / Trans® XTRActive® / UVSun Polarisé,"KUI
K",1.67,ORG,VERRES KODAK,
https://www.france-optique.com/gravures/fournisseur=2644,KODAK Unique Infinite 1.74 blanc / UVBlue /Trans® GenSTM,"KUI
K",1.74,ORG,VERRES KODAK,
