source_url,glass_name,nasal_engraving,glass_index,material,glass_supplier_name,image_engraving
https://www.france-optique.com/gravures/fournisseur=2217,K Proxim 1.5,,1.50,ORG,K OPTICAL,
https://www.france-optique.com/gravures/fournisseur=2217,K Proxim Polycarbonate,,1.59,POLY,K OPTICAL,
https://www.france-optique.com/gravures/fournisseur=2217,Kéolys Min. 1.5,,1.5,MIN,K OPTICAL,
https://www.france-optique.com/gravures/fournisseur=2217,K Proxim Min. 1.5,,1.5,MIN,K OPTICAL,
https://www.france-optique.com/gravures/fournisseur=2217,Kéolys Min. 1.5 Photochromique Brun et Gris,,1.5,MIN PHO,K OPTICAL,
