source_url,glass_name,nasal_engraving,glass_index,material,glass_supplier_name,image_engraving
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Ultra HDC 1.74,UHC,ORG,"1,74",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Individual 2 1.74,I274,ORG,"1,74",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Ultra HDC 1.67,UHC,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Individual 2 1.67,I267,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Ultra HDC 1.6,UHC,ORG,"1,6",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Individual 2 1.6,I260,ORG,"1,6",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Ultra HDC Poly,UHC,POLY,"1,59",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Individual 2 Poly,I259,POLY,"1,59",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Ultra HDC 1.5,UHC,ORG,"1,5",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Individual 2 1.53,I253,TVX,"1,53",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD 1.74,PH,ORG,"1,74",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Individual 2 1.5,I250,ORG,"1,5",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD 1.67,PH,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Superb 1.74,PS74,ORG,"1,74",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD 1.6,PH,ORG,"1,6",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Superb 1.67,PS67,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD Poly,PH,POLY,"1,59",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Superb 1.6,PS60,ORG,"1,6",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD 1.5,PH,ORG,"1,5",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Superb Poly,PS59,POLY,"1,59",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD Short 1.74,PHS,ORG,"1,74",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Superb 1.53,PS53,TVX,"1,53",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD Short 1.67,PHS,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Superb 1.5,PS50,ORG,"1,5",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD Short 1.6,PHS,ORG,"1,6",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Plus 1.74,PL74,ORG,"1,74",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD Short Poly,PHS,POLY,"1,59",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Plus 1.67,PL67,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Performance HD Short 1.5,PHS,ORG,"1,5",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Plus Poly,PL59,POLY,"1,59",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,synchrony progressif Easy View HD 1.67,EV,ORG,"1,67",ZEISS VISION CARE FRANCE,
https://www.france-optique.com/gravures/fournisseur=2414,ZEISS progressif Precision Plus 1.6,PL60,ORG,"1,6",ZEISS VISION CARE FRANCE,
