source_url,glass_name,nasal_engraving,glass_index,material,glass_supplier_name,image_engraving
https://www.france-optique.com/gravures/fournisseur=70,ETEREA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg"" alt=""ETEREA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant:nasal"">",1.5,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ETEREA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg"" alt=""ETEREA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant:nasal"">",1.6,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ETEREA / Blue Natural / Transition / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg"" alt=""ETEREA / Blue Natural / Transition / Polarisant:nasal"">",1.67,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ALIENA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg"" alt=""ALIENA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant:nasal"">",1.5,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ALIENA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg"" alt=""ALIENA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant:nasal"">",1.6,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ALIENA / Blue Natural / Transition / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg"" alt=""ALIENA / Blue Natural / Transition / Polarisant:nasal"">",1.67,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ALIENA / Blue Natural / Transition,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg"" alt=""ALIENA / Blue Natural / Transition:nasal"">",1.74,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ACLEAR / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg"" alt=""ACLEAR / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant:nasal"">",1.5,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ACLEAR / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg"" alt=""ACLEAR / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant:nasal"">",1.6,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
https://www.france-optique.com/gravures/fournisseur=70,ACLEAR / Blue Natural / Transition / Polarisant,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg"" alt=""ACLEAR / Blue Natural / Transition / Polarisant:nasal"">",1.67,<p>ORG</p>,Fournisseur : DIVEL FRAN ...,
