nom_du_verre,gamme,serie,variante,hauteur_min,hauteur_max,traitement_protection,traitement_photochromique,materiau,indice,fournisseur,url_gravure,url_source
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AI,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AI16,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AI67,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AI13,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AI1516,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AI18 67,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,ADAPTATIF,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,i2F 16,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,iP8 16,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,https://si.france-optique.com/img/gravures/nasal/web_157-nas-shamir-12.tif.jpg,https://www.france-optique.com/gravures/fournisseur=2397
Spectrum,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,S26 / S29  15,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AT3 16,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AIBZ,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AIBZ6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AIT67,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AI13T,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AI18 T67,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,ADAPTATIF,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,i2F T6,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,iP8 T6,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,https://si.france-optique.com/img/gravures/nasal/web_158-nas-shamir-13.tif.jpg,https://www.france-optique.com/gravures/fournisseur=2397
Spectrum,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,S26 / S29  BZ,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AT3 T6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AIPZ,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AIPZ6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AIPZ67,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AI13PZ,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AI15 T6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AI18 BZ67,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,ADAPTATIF,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,i2F PZ6,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,iP8 PZ6,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,https://si.france-optique.com/img/gravures/nasal/web_194-nas-shamir-47.tif.jpg,https://www.france-optique.com/gravures/fournisseur=2397
Spectrum,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,S26 / S29  TR,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AT3 PZ6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AIT,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AIT6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AIBZ67,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SHAMIR FRANCE,AI13BZ,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SHAMIR FRANCE,AI15 PZ6,https://www.france-optique.com/gravures/fournisseur=2397
AUTOGRAPH,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,AI18 PZ67,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,ADAPTATIF,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,i2F 67,https://www.france-optique.com/gravures/fournisseur=2397
InoTime®,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SHAMIR FRANCE,iP8 67,https://www.france-optique.com/gravures/fournisseur=2397
