nom_du_verre,gamme,serie,variante,hauteur_min,hauteur_max,traitement_protection,traitement_photochromique,materiau,indice,fournisseur,url_gravure,url_source
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,UHC,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,I274,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,UHC,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,I267,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,UHC,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,I260,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,UHC,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,I259,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,UHC,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,I253,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,PH,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,I250,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,PH,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,PS74,https://www.france-optique.com/gravures/fournisseur=2414
synchrony,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,PH,https://www.france-optique.com/gravures/fournisseur=2414
ZEISS,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,ZEISS VISION CARE FRANCE,PS67,https://www.france-optique.com/gravures/fournisseur=2414
