nom_du_verre,gamme,serie,variante,hauteur_min,hauteur_max,traitement_protection,traitement_photochromique,materiau,indice,fournisseur,url_gravure,url_source
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,KR 1.50,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,KR 1.50 BK,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,KR 1.50 K,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,"KR 
1.50 KB",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,"KR
1.50 POL",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,"KR
1.50 POL",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,KR 1.50 T8,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,"KR 
1.50 TS",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,KR 1.50 XT,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.53,K OPTICAL,"KR
1.53",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.53,K OPTICAL,"KR
1.53 BK",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.53,K OPTICAL,"KR
1.53 POL",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.53,K OPTICAL,"KR
1.53 T8",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.53,K OPTICAL,"KR
1.53 XT",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,KR PC,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,KR PC BK,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,"KR 
PC KB",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,"KR
PC POL",https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,KR PC T8,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,KR PC XT,https://www.france-optique.com/gravures/fournisseur=2217
K,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,K OPTICAL,K+ PC XT,https://www.france-optique.com/gravures/fournisseur=2217
Kléra,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,K OPTICAL,KHD 1.50,https://www.france-optique.com/gravures/fournisseur=2217
