nom_du_verre,gamme,serie,variante,hauteur_min,hauteur_max,traitement_protection,traitement_photochromique,materiau,indice,fournisseur,url_gravure,url_source
Varilux,PROGRESSIF_PREMIUM,Comfort,COURT,11,11,OUI,OUI,ORGANIQUE,1.6,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_1542-variluxcomfort6.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,Comfort,COURT,11,11,OUI,OUI,ORGANIQUE,1.5,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_1661-variluxcomfort.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,Comfort,COURT,11,11,OUI,OUI,ORGANIQUE,1.67,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_1543-variluxcomfort67.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_616-nas-essilor-12.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_617-nas-essilor-13.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_618-nas-essilor-14.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_619-nas-essilor-15.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_616-nas-essilor-12.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_617-nas-essilor-13.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_618-nas-essilor-14.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_619-nas-essilor-15.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_616-nas-essilor-12.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_617-nas-essilor-13.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_618-nas-essilor-14.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_619-nas-essilor-15.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_616-nas-essilor-12.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_617-nas-essilor-13.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.59,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_618-nas-essilor-14.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_619-nas-essilor-15.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.74,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_623-nas-essilor-16.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
Varilux,PROGRESSIF_PREMIUM,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,Fournisseur : ESSILOR FR ...,https://si.france-optique.com/img/gravures/nasal/web_624-nas-essilor-17.tif.jpg,https://www.france-optique.com/gravures/fournisseur=521
