nom_du_verre,gamme,serie,variante,hauteur_min,hauteur_max,traitement_protection,traitement_photochromique,materiau,indice,fournisseur,url_gravure,url_source
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.74,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_267-nas-seiko-01.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_268-nas-seiko-02.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_271-nas-seiko-05.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.74,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_267-nas-seiko-01.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_268-nas-seiko-02.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_271-nas-seiko-05.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.74,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_267-nas-seiko-01.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_268-nas-seiko-02.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_270-nas-seiko-04.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
SEIKO,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,SEIKO OPTICAL FRANCE,https://si.france-optique.com/img/gravures/nasal/web_271-nas-seiko-05.tif.jpg,https://www.france-optique.com/gravures/fournisseur=1407
