nom_du_verre,gamme,serie,variante,hauteur_min,hauteur_max,traitement_protection,traitement_photochromique,materiau,indice,fournisseur,url_gravure,url_source
Maximo,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_531-nas-bbgr-94.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Maximo,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.591,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_526-nas-bbgr-89.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Maximo,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.61,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_527-nas-bbgr-90.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Maximo,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_528-nas-bbgr-91.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Maximo,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.604,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_531-nas-bbgr-94.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_545-nas-bbgr-108.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.591,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_547-nas-bbgr-110.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_548-nas-bbgr-111.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.67,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_551-nas-bbgr-114.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.5,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_545-nas-bbgr-108.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.591,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_547-nas-bbgr-110.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
Milado,STANDARD,INCONNU,STANDARD,14,14,OUI,OUI,ORGANIQUE,1.6,OPTIC 2000,https://si.france-optique.com/img/gravures/nasal/web_548-nas-bbgr-111.tif.jpg,https://www.france-optique.com/gravures/fournisseur=127
